ContextId,GeoLevel,LegacyUrlPattern,ExampleUrl
10390,Borough,/viager-{0}/vente-viager-{1}.html,https://www.logic-immo.com/viager-paris-18e/vente-viager-paris-18e-75018-23597_2.html
10390,Municipality,/viager-{0}/vente-viager-{1}.html,https://www.logic-immo.com/viager-le-perreux-sur-marne/vente-viager-le-perreux-sur-marne-94170-17058_2.html
10390,Province,/viager-{0}/vente-viager-{1}.html,https://www.logic-immo.com/viager-haute-corse/vente-viager-haute-corse-2b-44_1.html
10390,Region,/viager-{0}/vente-viager-{1}.html,https://www.logic-immo.com/viager-bourgogne/vente-viager-bourgogne-7_0.html
10776,Borough,/maison-{0}/location-maison-{0}/maison-avec-piscine-{1}.html,https://www.logic-immo.com/maison-paris-18e/location-maison-paris-18e/maison-avec-piscine-paris-18e-75018-23597_2.html
10776,Municipality,/maison-{0}/location-maison-{0}/maison-avec-piscine-{1}.html,https://www.logic-immo.com/maison-le-perreux-sur-marne/location-maison-le-perreux-sur-marne/maison-avec-piscine-le-perreux-sur-marne-94170-17058_2.html
10776,Province,/maison-{0}/location-maison-{0}/maison-avec-piscine-{1}.html,https://www.logic-immo.com/maison-haute-corse/location-maison-haute-corse/maison-avec-piscine-haute-corse-2b-44_1.html
10776,Region,/maison-{0}/location-maison-{0}/maison-avec-piscine-{1}.html,https://www.logic-immo.com/maison-bourgogne/location-maison-bourgogne/maison-avec-piscine-bourgogne-7_0.html
11243,Borough,/appartement-{0}/vente-appartement-{0}/appartement-4-chambres-{1}.html,https://www.logic-immo.com/appartement-paris-18e/vente-appartement-paris-18e/appartement-4-chambres-paris-18e-75018-23597_2.html
11243,Municipality,/appartement-{0}/vente-appartement-{0}/appartement-4-chambres-{1}.html,https://www.logic-immo.com/appartement-le-perreux-sur-marne/vente-appartement-le-perreux-sur-marne/appartement-4-chambres-le-perreux-sur-marne-94170-17058_2.html
11243,Province,/appartement-{0}/vente-appartement-{0}/appartement-4-chambres-{1}.html,https://www.logic-immo.com/appartement-haute-corse/vente-appartement-haute-corse/appartement-4-chambres-haute-corse-2b-44_1.html
11243,Region,/appartement-{0}/vente-appartement-{0}/appartement-4-chambres-{1}.html,https://www.logic-immo.com/appartement-bourgogne/vente-appartement-bourgogne/appartement-4-chambres-bourgogne-7_0.html
11251,Borough,/maison-{0}/vente-maison-{0}/maison-3-chambres-{1}.html,https://www.logic-immo.com/maison-paris-18e/vente-maison-paris-18e/maison-3-chambres-paris-18e-75018-23597_2.html
11251,Municipality,/maison-{0}/vente-maison-{0}/maison-3-chambres-{1}.html,https://www.logic-immo.com/maison-le-perreux-sur-marne/vente-maison-le-perreux-sur-marne/maison-3-chambres-le-perreux-sur-marne-94170-17058_2.html
11251,Province,/maison-{0}/vente-maison-{0}/maison-3-chambres-{1}.html,https://www.logic-immo.com/maison-haute-corse/vente-maison-haute-corse/maison-3-chambres-haute-corse-2b-44_1.html
11251,Region,/maison-{0}/vente-maison-{0}/maison-3-chambres-{1}.html,https://www.logic-immo.com/maison-bourgogne/vente-maison-bourgogne/maison-3-chambres-bourgogne-7_0.html
11645,Borough,/colocation-{0}/location-colocation-{1}.html,https://www.logic-immo.com/colocation-paris-18e/location-colocation-paris-18e-75018-23597_2.html
11645,Municipality,/colocation-{0}/location-colocation-{1}.html,https://www.logic-immo.com/colocation-le-perreux-sur-marne/location-colocation-le-perreux-sur-marne-94170-17058_2.html
11645,Province,/colocation-{0}/location-colocation-{1}.html,https://www.logic-immo.com/colocation-haute-corse/location-colocation-haute-corse-2b-44_1.html
11645,Region,/colocation-{0}/location-colocation-{1}.html,https://www.logic-immo.com/colocation-bourgogne/location-colocation-bourgogne-7_0.html
11999,Borough,/appartement-{0}/vente-appartement-{0}/appartement-3-chambres-{1}.html,https://www.logic-immo.com/appartement-paris-18e/vente-appartement-paris-18e/appartement-3-chambres-paris-18e-75018-23597_2.html
