"ContextId","Alias","GeoLevel","LocationAvivGeoId","LocationName","LocationSlug","ExampleUrl","WhiteLabelUrl"
"58640","buy:agricultureforestry","Country","AD02DE1","Deutschland","deutschland/","https://www.immowelt.de/suche/deutschland/landwirtschaft-forstwirtschaft/kaufen","https://www.immowelt.de/suche/kaufen/landwirtschaft/deutschland/ad02de1"
"58640","buy:agricultureforestry","Municipality","AD08DE1113","Hamburg (alle Postleitzahlen)","hamburg/","https://www.immowelt.de/suche/hamburg/landwirtschaft-forstwirtschaft/kaufen","https://www.immowelt.de/suche/kaufen/landwirtschaft/hamburg/hamburg-20095/ad08de1113"
"58640","buy:agricultureforestry","Neighborhood","NBH2DE91295303","Rahlstedt (alle Postleitzahlen)","hamburg-rahlstedt/","https://www.immowelt.de/suche/hamburg-rahlstedt/landwirtschaft-forstwirtschaft/kaufen","https://www.immowelt.de/suche/kaufen/landwirtschaft/hamburg-20095/rahlstedt-22145/nbh2de91295303"
"45430","buy:agricultureforestry:farmranch","Country","AD02DE1","Deutschland","deutschland/","https://www.immowelt.de/suche/deutschland/landwirtschaft-forstwirtschaft/kaufen/bauernhof","https://www.immowelt.de/suche/kaufen/landwirtschaft/farm/deutschland/ad02de1"
"45430","buy:agricultureforestry:farmranch","Municipality","AD08DE1113","Hamburg (alle Postleitzahlen)","hamburg/","https://www.immowelt.de/suche/hamburg/landwirtschaft-forstwirtschaft/kaufen/bauernhof","https://www.immowelt.de/suche/kaufen/landwirtschaft/farm/hamburg/hamburg-20095/ad08de1113"
"31816","buy:agricultureforestry:forestry","Country","AD02DE1","Deutschland","deutschland/","https://www.immowelt.de/suche/deutschland/landwirtschaft-forstwirtschaft/kaufen/forstwirtschaft","https://www.immowelt.de/suche/kaufen/landwirtschaft/forstwirtschaft/deutschland/ad02de1"
"31816","buy:agricultureforestry:forestry","Municipality","AD08DE1113","Hamburg (alle Postleitzahlen)","hamburg/","https://www.immowelt.de/suche/hamburg/landwirtschaft-forstwirtschaft/kaufen/forstwirtschaft","https://www.immowelt.de/suche/kaufen/landwirtschaft/forstwirtschaft/hamburg/hamburg-20095/ad08de1113"
"92072","buy:agricultureforestry:riding","Country","AD02DE1","Deutschland","deutschland/","https://www.immowelt.de/suche/deutschland/landwirtschaft-forstwirtschaft/kaufen/reiterhof","https://www.immowelt.de/suche/kaufen/landwirtschaft/reiterhof/deutschland/ad02de1"
"92072","buy:agricultureforestry:riding","Municipality","AD08DE1113","Hamburg (alle Postleitzahlen)","hamburg/","https://www.immowelt.de/suche/hamburg/landwirtschaft-forstwirtschaft/kaufen/reiterhof","https://www.immowelt.de/suche/kaufen/landwirtschaft/reiterhof/hamburg/hamburg-20095/ad08de1113"
"97990","buy:agricultureforestry:winery","Country","AD02DE1","Deutschland","deutschland/","https://www.immowelt.de/suche/deutschland/landwirtschaft-forstwirtschaft/kaufen/weingut","https://www.immowelt.de/suche/kaufen/landwirtschaft/weingut/deutschland/ad02de1"
"97990","buy:agricultureforestry:winery","Municipality","AD08DE1113","Hamburg (alle Postleitzahlen)","hamburg/","https://www.immowelt.de/suche/hamburg/landwirtschaft-forstwirtschaft/kaufen/weingut","https://www.immowelt.de/suche/kaufen/landwirtschaft/weingut/hamburg/hamburg-20095/ad08de1113"
"74434","buy:apartment","Country","AD02DE1","Deutschland","deutschland/","https://www.immowelt.de/suche/deutschland/wohnungen/kaufen","https://www.immowelt.de/suche/kaufen/wohnung/deutschland/ad02de1"
"74434","buy:apartment","Municipality","AD08DE1113","Hamburg (alle Postleitzahlen)","hamburg/","https://www.immowelt.de/suche/hamburg/wohnungen/kaufen","https://www.immowelt.de/suche/kaufen/wohnung/hamburg/hamburg-20095/ad08de1113"
"74434","buy:apartment","Neighborhood","NBH2DE91295303","Rahlstedt (alle Postleitzahlen)","hamburg-rahlstedt/","https://www.immowelt.de/suche/hamburg-rahlstedt/wohnungen/kaufen","https://www.immowelt.de/suche/kaufen/wohnung/hamburg-20095/rahlstedt-22145/nbh2de91295303"
